Var1	Var2	Freq
GTOP-AJ141-2099	0	2715
GTOP-AJ142-1053	0	1458
GTOP-AJ211-0160	0	2820
GTOP-AJ211-1856	0	2522
GTOP-AJ221-1053	0	1601
GTOP-AJ221-1470	0	1947
GTOP-AJ221-1584	0	2021
GTOP-AJ221-1710	0	2283
GTOP-AJ221-4019	0	1317
GTOP-AJ221-4023	0	1988
GTOP-AJ221-4149	0	1787
GTOP-AJ221-4155	0	1812
GTOP-AJ231-0087	0	2046
GTOP-AJ231-0262	0	3211
GTOP-AJ231-1053	0	2673
GTOP-AJ231-1236	0	2169
GTOP-AJ231-2099	0	2653
GTOP-AK091-0087	0	2242
GTOP-AK091-1710	0	2830
GTOP-AK091-3082	0	2853
GTOP-AK091-4002	0	2004
GTOP-AK092-1053	0	1903
GTOP-AK111-1236	0	1948
GTOP-AK112-0262	0	2734
GTOP-AK112-1710	0	3058
GTOP-AK112-4002	0	1628
GTOP-AK112-4023	0	1941
GTOP-AK221-0160	0	2865
GTOP-AK221-2099	0	2431
GTOP-AK231-1710	0	2901
GTOP-AK231-5032	0	2147
GTOP-AK281-1108	0	1327
GTOP-AL121-0378	0	1574
GTOP-AL121-1053	0	1858
GTOP-AL271-1856	0	2732
GTOP-BA041-1236	0	2027
GTOP-BA082-0160	0	2709
GTOP-BA131-1053	0	923
GTOP-BA131-2099	0	2388
GTOP-BA191-2099	0	2161
GTOP-BA231-3082	0	3245
GTOP-BA231-4155	0	2304
GTOP-BA232-0378	0	2132
GTOP-BA232-1856	0	2648
GTOP-BA251-0160	0	2268
GTOP-BA251-2099	0	2742
GTOP-BB201-1053	0	1971
GTOP-BB201-1710	0	2860
GTOP-BB201-1856	0	2484
GTOP-BB201-4019	0	1590
GTOP-BB201-4023	0	2204
GTOP-BB201-4149	0	1897
GTOP-BB201-4155	0	2204
GTOP-BB202-0378	0	2915
GTOP-BB202-5032	0	2303
GTOP-BC041-0262	0	3052
GTOP-BC041-3082	0	2939
GTOP-BC161-0160	0	2342
GTOP-BC161-1856	0	2197
GTOP-BC181-0087	0	2256
GTOP-BC181-0262	0	3152
GTOP-BC181-1053	0	1185
GTOP-BC181-1236	0	2205
GTOP-BC181-1392	0	1137
GTOP-BC181-2099	0	2035
GTOP-BC181-3082	0	3422
GTOP-BD201-0087	0	2084
GTOP-BE141-1856	0	2396
GTOP-BE161-1710	0	2341
GTOP-BE161-5302	0	1875
GTOP-BF221-0378	0	1189
GTOP-BG091-0160	0	2280
GTOP-BG171-0378	0	1036
GTOP-BH131-0378	0	1142
GTOP-BH131-1236	0	1385
GTOP-BH131-1710	0	2192
GTOP-BH131-4003	0	1922
GTOP-BH131-4022	0	1936
GTOP-BI071-1236	0	1270
GTOP-BI071-1856	0	2459
GTOP-BJ141-0087	0	1565
GTOP-BJ191-0378	0	1309
GTOP-BJ191-1108	0	951
GTOP-BK021-0087	0	1738
GTOP-BK021-1053	0	1047
GTOP-BK071-1392	0	1302
GTOP-BK071-1856	0	2282
GTOP-BK071-4149	0	1971
GTOP-BK071-4150	0	2333
GTOP-BK161-1236	0	1824
GTOP-BK281-0087	0	1966
GTOP-BK281-4018	0	1896
GTOP-BL021-0378	0	1730
GTOP-BL021-2099	0	1995
GTOP-BL221-0262	0	2215
GTOP-BL261-0262	0	2304
GTOP-BL261-3170	0	2308
GTOP-CA081-1392	0	1647
GTOP-CA081-1856	0	2225
GTOP-CA081-3170	0	2051
GTOP-CA081-4003	0	1561
GTOP-CA121-0160	0	2107
GTOP-CB151-1236	0	1390
GTOP-CB161-1392	0	1196
GTOP-CB261-0087	0	1973
GTOP-CB271-0087	0	1723
GTOP-CB271-1584	0	2506
GTOP-CB271-1601	0	1688
GTOP-CB271-1710	0	2000
GTOP-CB271-4022	0	1927
GTOP-CB271-4155	0	2239
GTOP-CB281-3082	0	2101
GTOP-CC131-0262	0	2298
GTOP-CC131-3082	0	1902
GTOP-CC201-3170	0	2055
